id,numero_empleado,fecha,dia_semana,horas_trabajadas,horas_incidencia,presente,fecha_creacion
5358,235,2025-10-18,MIE,8,0,true,2025-11-01T21:03:47.104679+00:00
5359,235,2025-10-19,JUE,0,0,true,2025-11-01T21:03:47.104679+00:00
5360,235,2025-10-20,VIE,0,0,true,2025-11-01T21:03:47.104679+00:00
5361,235,2025-10-21,SAB,9,0,true,2025-11-01T21:03:47.104679+00:00
5362,235,2025-10-22,DOM,9,0,true,2025-11-01T21:03:47.104679+00:00
5363,259,2025-10-16,LUN,8,0,true,2025-11-01T21:03:47.104679+00:00
5364,259,2025-10-17,MAR,8,0,true,2025-11-01T21:03:47.104679+00:00
5365,259,2025-10-18,MIE,5,0,true,2025-11-01T21:03:47.104679+00:00
5366,259,2025-10-19,JUE,0,0,true,2025-11-01T21:03:47.104679+00:00
5367,259,2025-10-20,VIE,8,0,true,2025-11-01T21:03:47.104679+00:00
5368,259,2025-10-21,SAB,8,0,true,2025-11-01T21:03:47.104679+00:00
5369,259,2025-10-22,DOM,8,0,true,2025-11-01T21:03:47.104679+00:00
5370,279,2025-10-16,LUN,9,0,true,2025-11-01T21:03:47.104679+00:00
5371,279,2025-10-17,MAR,0,0,true,2025-11-01T21:03:47.104679+00:00
5372,279,2025-10-18,MIE,0,0,true,2025-11-01T21:03:47.104679+00:00
5373,279,2025-10-19,JUE,0,0,true,2025-11-01T21:03:47.104679+00:00
5374,279,2025-10-20,VIE,9,0,true,2025-11-01T21:03:47.104679+00:00
5375,279,2025-10-21,SAB,9,0,true,2025-11-01T21:03:47.104679+00:00
5376,279,2025-10-22,DOM,9,0,true,2025-11-01T21:03:47.104679+00:00
5377,318,2025-10-16,LUN,9,0,true,2025-11-01T21:03:47.104679+00:00
5378,318,2025-10-17,MAR,9,0,true,2025-11-01T21:03:47.104679+00:00
5379,318,2025-10-18,MIE,0,0,true,2025-11-01T21:03:47.104679+00:00
5380,318,2025-10-19,JUE,0,0,true,2025-11-01T21:03:47.104679+00:00
5381,318,2025-10-20,VIE,9,0,true,2025-11-01T21:03:47.104679+00:00
5382,318,2025-10-21,SAB,9,0,true,2025-11-01T21:03:47.104679+00:00
5383,318,2025-10-22,DOM,9,0,true,2025-11-01T21:03:47.104679+00:00
5384,332,2025-10-16,LUN,8,0,true,2025-11-01T21:03:47.104679+00:00
5385,332,2025-10-17,MAR,8,0,true,2025-11-01T21:03:47.104679+00:00
5386,332,2025-10-18,MIE,5,0,true,2025-11-01T21:03:47.104679+00:00
5387,332,2025-10-19,JUE,0,0,true,2025-11-01T21:03:47.104679+00:00
5388,332,2025-10-20,VIE,0,0,true,2025-11-01T21:03:47.104679+00:00
5389,332,2025-10-21,SAB,0,0,true,2025-11-01T21:03:47.104679+00:00
5390,332,2025-10-22,DOM,8,0,true,2025-11-01T21:03:47.104679+00:00
5391,413,2025-10-16,LUN,8,0,true,2025-11-01T21:03:47.104679+00:00
5392,413,2025-10-17,MAR,8,0,true,2025-11-01T21:03:47.104679+00:00
5393,413,2025-10-18,MIE,5,0,true,2025-11-01T21:03:47.104679+00:00
5394,413,2025-10-19,JUE,0,0,true,2025-11-01T21:03:47.104679+00:00
5395,413,2025-10-20,VIE,8,0,true,2025-11-01T21:03:47.104679+00:00
5396,413,2025-10-21,SAB,8,0,true,2025-11-01T21:03:47.104679+00:00
5397,413,2025-10-22,DOM,8,0,true,2025-11-01T21:03:47.104679+00:00
5398,488,2025-10-16,LUN,8.5,0,true,2025-11-01T21:03:47.104679+00:00
5399,488,2025-10-17,MAR,8.5,0,true,2025-11-01T21:03:47.104679+00:00
5400,488,2025-10-18,MIE,4.5,0,true,2025-11-01T21:03:47.104679+00:00
5401,488,2025-10-19,JUE,0,0,true,2025-11-01T21:03:47.104679+00:00
5402,488,2025-10-20,VIE,8.5,0,true,2025-11-01T21:03:47.104679+00:00
5403,488,2025-10-21,SAB,8.5,0,true,2025-11-01T21:03:47.104679+00:00
5404,488,2025-10-22,DOM,8.5,0,true,2025-11-01T21:03:47.104679+00:00
5405,515,2025-10-16,LUN,9,0,true,2025-11-01T21:03:47.104679+00:00
5406,515,2025-10-17,MAR,9,0,true,2025-11-01T21:03:47.104679+00:00
5407,515,2025-10-18,MIE,8,0,true,2025-11-01T21:03:47.104679+00:00
5408,515,2025-10-19,JUE,0,0,true,2025-11-01T21:03:47.104679+00:00
5409,515,2025-10-20,VIE,9,0,true,2025-11-01T21:03:47.104679+00:00
5410,515,2025-10-21,SAB,9,0,true,2025-11-01T21:03:47.104679+00:00
5411,515,2025-10-22,DOM,9,0,true,2025-11-01T21:03:47.104679+00:00
5412,518,2025-10-16,LUN,8.5,0,true,2025-11-01T21:03:47.104679+00:00
5413,518,2025-10-17,MAR,8.5,0,true,2025-11-01T21:03:47.104679+00:00
5414,518,2025-10-18,MIE,4.5,0,true,2025-11-01T21:03:47.104679+00:00
5415,518,2025-10-19,JUE,0,0,true,2025-11-01T21:03:47.104679+00:00
5416,518,2025-10-20,VIE,8.5,0,true,2025-11-01T21:03:47.104679+00:00
5417,518,2025-10-21,SAB,8.5,0,true,2025-11-01T21:03:47.104679+00:00
5418,518,2025-10-22,DOM,8.5,0,true,2025-11-01T21:03:47.104679+00:00
5419,529,2025-10-16,LUN,8,0,true,2025-11-01T21:03:47.104679+00:00
5420,529,2025-10-17,MAR,8,0,true,2025-11-01T21:03:47.104679+00:00
5421,529,2025-10-18,MIE,5,0,true,2025-11-01T21:03:47.104679+00:00
5422,529,2025-10-19,JUE,0,0,true,2025-11-01T21:03:47.104679+00:00
5423,529,2025-10-20,VIE,8,0,true,2025-11-01T21:03:47.104679+00:00
5424,529,2025-10-21,SAB,8,0,true,2025-11-01T21:03:47.104679+00:00
5425,529,2025-10-22,DOM,8,0,true,2025-11-01T21:03:47.104679+00:00
5426,531,2025-10-16,LUN,10,0,true,2025-11-01T21:03:47.104679+00:00
5427,531,2025-10-17,MAR,10,0,true,2025-11-01T21:03:47.104679+00:00
5428,531,2025-10-18,MIE,0,0,true,2025-11-01T21:03:47.104679+00:00
5429,531,2025-10-19,JUE,0,0,true,2025-11-01T21:03:47.104679+00:00
5430,531,2025-10-20,VIE,10,0,true,2025-11-01T21:03:47.104679+00:00
5431,531,2025-10-21,SAB,10,0,true,2025-11-01T21:03:47.104679+00:00
5432,531,2025-10-22,DOM,10,0,true,2025-11-01T21:03:47.104679+00:00
5433,590,2025-10-16,LUN,8,0,true,2025-11-01T21:03:47.104679+00:00
5434,590,2025-10-17,MAR,8,0,true,2025-11-01T21:03:47.104679+00:00
5435,590,2025-10-18,MIE,5,0,true,2025-11-01T21:03:47.104679+00:00
5436,590,2025-10-19,JUE,0,0,true,2025-11-01T21:03:47.104679+00:00
